rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,ollama,71948,5299,Go,https://github.com/ollama/ollama,ollama,779,2024-06-07T00:24:22Z,"Get up and running with Llama 3, Mistral, Gemma, and other large language models."
2,LLM,gpt4all,65618,7228,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,407,2024-06-06T22:43:04Z,gpt4all: run open-source LLMs anywhere
3,LLM,gpt_academic,60012,7501,Python,https://github.com/binary-husky/gpt_academic,binary-husky,256,2024-06-06T09:35:14Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
4,LLM,llama.cpp,59746,8512,C++,https://github.com/ggerganov/llama.cpp,ggerganov,345,2024-06-07T02:16:34Z,LLM inference in C/C++
5,LLM,MetaGPT,40683,4829,Python,https://github.com/geekan/MetaGPT,geekan,253,2024-06-06T03:22:21Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
6,LLM,quivr,33648,3298,Python,https://github.com/QuivrHQ/quivr,QuivrHQ,77,2024-06-06T18:06:00Z,"Your GenAI Second Brain 🧠  A personal productivity assistant (RAG) ⚡️🤖 Chat with your docs (PDF, CSV, ...)  & apps using Langchain, GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, Groq  that you can share with users !  Local & Private alternative to OpenAI GPTs & ChatGPT powered by retrieval-augmented generation."
7,LLM,dify,32863,4357,TypeScript,https://github.com/langgenius/dify,langgenius,209,2024-06-07T03:11:03Z,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production."
8,LLM,llm-course,32531,3372,Jupyter Notebook,https://github.com/mlabonne/llm-course,mlabonne,37,2024-06-06T13:49:19Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
9,LLM,llama_index,32447,4479,Python,https://github.com/run-llama/llama_index,run-llama,731,2024-06-07T03:09:04Z,LlamaIndex is a data framework for your LLM applications
10,LLM,lobe-chat,32220,7691,TypeScript,https://github.com/lobehub/lobe-chat,lobehub,318,2024-06-07T02:25:10Z,"🤯 Lobe Chat - an open-source, modern-design LLMs/AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Bedrock / Azure / Mistral / Perplexity ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT chat application."
11,LLM,Langchain-Chatchat,28740,5045,Python,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,161,2024-06-06T08:26:01Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain "
12,LLM,milvus,27651,2663,Go,https://github.com/milvus-io/milvus,milvus-io,695,2024-06-07T03:01:10Z,"A cloud-native vector database, storage for next generation AI applications"
13,LLM,Mr.-Ranedeer-AI-Tutor,27395,3155,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,11,2024-03-25T13:06:55Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
14,LLM,OpenDevin,26995,3051,Python,https://github.com/OpenDevin/OpenDevin,OpenDevin,164,2024-06-07T03:00:12Z,"🐚 OpenDevin: Code Less, Make More"
15,LLM,chatgpt-on-wechat,26868,7206,Python,https://github.com/zhayujie/chatgpt-on-wechat,zhayujie,375,2024-06-05T09:23:19Z,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT3.5/GPT-4o/GPT4.0/ Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Claude/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。
16,LLM,Flowise,26307,13420,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,344,2024-06-07T01:36:47Z,Drag & drop UI to build your customized LLM flow
17,LLM,open-webui,25972,2769,Svelte,https://github.com/open-webui/open-webui,open-webui,108,2024-06-06T23:00:56Z,User-friendly WebUI for LLMs (Formerly Ollama WebUI)
18,LLM,ChatDev,23904,2988,Shell,https://github.com/OpenBMB/ChatDev,OpenBMB,15,2024-06-05T12:49:00Z,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration)
19,LLM,LLaMA-Factory,23846,2921,Python,https://github.com/hiyouga/LLaMA-Factory,hiyouga,54,2024-06-07T02:47:41Z,Unify Efficient Fine-Tuning of 100+ LLMs
20,LLM,JARVIS,23215,1921,Python,https://github.com/microsoft/JARVIS,microsoft,73,2024-04-24T01:38:16Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
21,LLM,mindsdb,21780,2901,Python,https://github.com/mindsdb/mindsdb,mindsdb,365,2024-06-06T21:35:27Z,The platform for customizing AI from enterprise data
22,LLM,LocalAI,20967,1598,C++,https://github.com/mudler/LocalAI,mudler,277,2024-06-07T02:17:16Z,":robot: The free, Open Source OpenAI alternative. Self-hosted, community-driven and local-first. Drop-in replacement for OpenAI running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. It allows to generate Text, Audio, Video, Images. Also with voice cloning capabilities."
23,LLM,vllm,20628,2840,Python,https://github.com/vllm-project/vllm,vllm-project,864,2024-06-07T03:17:24Z,A high-throughput and memory-efficient inference and serving engine for LLMs
24,LLM,llm.c,20430,2166,Cuda,https://github.com/karpathy/llm.c,karpathy,61,2024-06-07T03:10:52Z,"LLM training in simple, raw C/CUDA"
25,LLM,architecture.of.internet-product,19914,4641,HTML,https://github.com/davideuler/architecture.of.internet-product,davideuler,3,2024-02-17T12:02:24Z,互联网公司技术架构，微信/淘宝/微博/腾讯/阿里/美团点评/百度/OpenAI/Google/Facebook/Amazon/eBay的架构，欢迎PR补充
26,LLM,jan,19767,1141,TypeScript,https://github.com/janhq/jan,janhq,195,2024-06-06T10:20:08Z,"Jan is an open source alternative to ChatGPT that runs 100% offline on your computer. Multiple engine support (llama.cpp, TensorRT-LLM)"
27,LLM,chatbox,19284,1962,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,268,2024-06-05T02:48:00Z,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)"
28,LLM,semantic-kernel,18911,2792,C#,https://github.com/microsoft/semantic-kernel,microsoft,409,2024-06-07T02:08:42Z,Integrate cutting-edge LLM technology quickly and easily into your apps
29,LLM,unilm,18874,2424,Python,https://github.com/microsoft/unilm,microsoft,543,2024-06-06T22:13:55Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
30,LLM,LLMs-from-scratch,18674,1762,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch,rasbt,0,2024-06-07T02:03:44Z,"Implementing a ChatGPT-like LLM in PyTorch from scratch, step by step"
31,LLM,Chinese-LLaMA-Alpaca,17711,1822,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,3,2024-04-30T04:28:38Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
32,LLM,mlc-llm,17405,1378,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,134,2024-06-07T02:30:00Z,Universal LLM Deployment Engine with ML Compilation
33,LLM,llamafile,16242,807,C++,https://github.com/Mozilla-Ocho/llamafile,Mozilla-Ocho,97,2024-06-06T12:20:01Z,Distribute and run LLMs with a single file.
34,LLM,anything-llm,15617,1637,JavaScript,https://github.com/Mintplex-Labs/anything-llm,Mintplex-Labs,154,2024-06-07T01:32:44Z,The all-in-one Desktop & Docker AI application with full RAG and AI Agent capabilities.
35,LLM,ChatGLM2-6B,15556,1842,Python,https://github.com/THUDM/ChatGLM2-6B,THUDM,425,2024-04-11T03:31:03Z,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型
36,LLM,Awesome-LLM,15356,1213,,https://github.com/Hannibal046/Awesome-LLM,Hannibal046,0,2024-06-05T06:23:08Z,Awesome-LLM: a curated list of Large Language Model
37,LLM,one-api,15265,3534,JavaScript,https://github.com/songquanpeng/one-api,songquanpeng,523,2024-06-06T12:52:57Z,"OpenAI 接口管理 & 分发系统，支持 Azure、Anthropic Claude、Google PaLM 2 & Gemini、智谱 ChatGLM、百度文心一言、讯飞星火认知、阿里通义千问、360 智脑以及腾讯混元，可用于二次分发管理 key，仅单可执行文件，已打包好 Docker 镜像，一键部署，开箱即用. OpenAI key management & redistribution system, using a single API for all LLMs, and features an English UI."
38,LLM,ChuanhuChatGPT,14915,2251,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,115,2024-05-28T17:49:29Z,"GUI for ChatGPT API and many LLMs. Supports agents, file-based QA, GPT finetuning and query with web search. All with a neat UI."
39,LLM,SuperAGI,14746,1752,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,126,2024-06-04T07:50:41Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
40,LLM,kubesphere,14519,2097,Go,https://github.com/kubesphere/kubesphere,kubesphere,468,2024-06-04T02:24:37Z,"The container platform tailored for Kubernetes multi-cloud, datacenter, and edge management ⎈ 🖥 ☁️"
41,LLM,peft,14511,1361,Python,https://github.com/huggingface/peft,huggingface,39,2024-06-06T22:08:46Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
42,LLM,FastGPT,14280,3655,TypeScript,https://github.com/labring/FastGPT,labring,162,2024-06-07T03:07:30Z,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration."
43,LLM,haystack,14200,1676,Python,https://github.com/deepset-ai/haystack,deepset-ai,113,2024-06-06T17:36:08Z,":mag: LLM orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots."
44,LLM,evals,14196,2531,Python,https://github.com/openai/evals,openai,84,2024-05-30T20:20:28Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
45,LLM,MoneyPrinterTurbo,13439,2065,Python,https://github.com/harry0703/MoneyPrinterTurbo,harry0703,17,2024-06-04T02:36:18Z,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.
46,LLM,dalai,13066,1433,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,294,2023-11-29T19:27:33Z,The simplest way to run LLaMA on your local machine
47,LLM,ChatGLM3,12766,1480,Python,https://github.com/THUDM/ChatGLM3,THUDM,15,2024-06-07T01:51:49Z,ChatGLM3 series: Open Bilingual Chat LLMs | 开源双语对话语言模型
48,LLM,crawlee,12691,551,TypeScript,https://github.com/apify/crawlee,apify,111,2024-06-07T00:03:43Z,"Crawlee—A web scraping and browser automation library for Node.js to build reliable crawlers. In JavaScript and TypeScript. Extract data for AI, LLMs, RAG, or GPTs. Download HTML, PDF, JPG, PNG, and other files from websites. Works with Puppeteer, Playwright, Cheerio, JSDOM, and raw HTTP. Both headful and headless mode. With proxy rotation."
49,LLM,Llama-Chinese,12507,1143,Python,https://github.com/LlamaFamily/Llama-Chinese,LlamaFamily,180,2024-05-15T08:21:59Z,Llama中文社区，Llama3在线体验和微调模型已开放，实时汇总最新Llama3学习资料，已将所有代码更新适配Llama3，构建最好的中文Llama大模型，完全开源可商用
50,LLM,continue,12371,803,TypeScript,https://github.com/continuedev/continue,continuedev,286,2024-06-07T00:33:15Z,⏩ Continue enables you to create your own AI code assistant inside your IDE. Keep your developers in flow with open-source VS Code and JetBrains extensions
51,LLM,Awesome-Chinese-LLM,12257,1108,,https://github.com/HqWu-HITCS/Awesome-Chinese-LLM,HqWu-HITCS,2,2024-06-06T14:20:59Z,整理开源的中文大语言模型，以规模较小、可私有化部署、训练成本较低的模型为主，包括底座模型，垂直领域微调及应用，数据集与教程等。
52,LLM,botpress,12104,1666,TypeScript,https://github.com/botpress/botpress,botpress,6,2024-06-06T16:43:06Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
53,LLM,Qwen,11847,965,Python,https://github.com/QwenLM/Qwen,QwenLM,5,2024-05-27T05:43:41Z,The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.
54,LLM,RWKV-LM,11836,814,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,64,2024-05-31T10:35:16Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
55,LLM,DB-GPT,11714,1509,Python,https://github.com/eosphoros-ai/DB-GPT,eosphoros-ai,110,2024-06-06T16:56:21Z,AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents
56,LLM,PaddleNLP,11619,2849,Python,https://github.com/PaddlePaddle/PaddleNLP,PaddlePaddle,472,2024-06-06T12:58:13Z,"👑 Easy-to-use and powerful NLP and LLM library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc."
57,LLM,SWE-agent,11565,1123,Python,https://github.com/princeton-nlp/SWE-agent,princeton-nlp,51,2024-06-06T18:00:16Z,"SWE-agent takes a GitHub issue and tries to automatically fix it, using GPT-4, or your LM of choice. It solves 12.47% of bugs in the SWE-bench evaluation set and takes just 1.5 minutes to run."
58,LLM,pandas-ai,11466,1044,Python,https://github.com/Sinaptik-AI/pandas-ai,Sinaptik-AI,95,2024-06-06T18:15:05Z,"Chat with your database (SQL, CSV, pandas, polars, mongodb, noSQL, etc). PandasAI makes data analysis conversational using LLMs (GPT 3.5 / 4, Anthropic, VertexAI) and RAG."
59,LLM,unsloth,11166,702,Python,https://github.com/unslothai/unsloth,unslothai,279,2024-06-07T02:36:55Z,"Finetune Llama 3, Mistral, Phi & Gemma LLMs 2-5x faster with 80% less memory"
60,LLM,khoj,11077,550,Python,https://github.com/khoj-ai/khoj,khoj-ai,55,2024-06-07T02:22:54Z,"Your AI second brain. Get answers to your questions, whether they be online or in your own notes. Use online AI models (e.g gpt4) or private, local LLMs (e.g llama3). Self-host locally or use our cloud instance. Access from Obsidian, Emacs, Desktop app, Web or Whatsapp."
61,LLM,web-llm,10994,685,TypeScript,https://github.com/mlc-ai/web-llm,mlc-ai,42,2024-06-06T22:29:18Z,High-performance In-browser LLM Inference Engine 
